RunNumber,SDKInitSpeed_ms,TimeSinceInit_ms,Duration_ms,Variation
1,45.560,8.592,0.387,null
1,45.560,13.658,0.048,null
1,45.560,19.448,0.036,null
1,45.560,25.209,0.036,null
1,45.560,31.554,0.331,null
1,45.560,36.660,0.062,null
1,45.560,41.928,0.075,null
1,45.560,46.607,0.027,null
1,45.560,52.789,0.152,null
1,45.560,57.714,0.025,null
1,45.560,67.972,0.050,null
1,45.560,73.750,0.260,null
1,45.560,78.641,0.241,null
1,45.560,84.020,0.111,null
1,45.560,88.833,0.008,null
1,45.560,94.529,0.049,null
1,45.560,100.277,0.048,null
1,45.560,105.995,0.012,null
1,45.560,111.679,0.010,null
1,45.560,117.368,0.020,null
1,45.560,123.055,0.006,null
1,45.560,128.784,0.046,null
1,45.560,134.550,0.027,null
1,45.560,140.277,0.027,null
1,45.560,146.021,0.038,null
1,45.560,151.754,0.020,null
1,45.560,157.437,0.006,null
1,45.560,163.121,0.018,null
1,45.560,168.834,0.022,null
1,45.560,174.521,0.005,null
1,45.560,180.201,0.021,null
1,45.560,185.955,0.050,null
1,45.560,191.703,0.019,null
1,45.560,197.440,0.037,null
1,45.560,203.278,0.065,null
1,45.560,208.876,0.042,null
1,45.560,213.498,0.021,null
1,45.560,218.801,0.091,null
1,45.560,223.647,0.064,null
1,45.560,243.150,0.122,null
1,45.560,249.007,2.367,off
1,45.560,255.001,0.757,off
1,45.560,261.675,0.468,off
1,45.560,266.817,0.485,off
1,45.560,271.837,0.057,off
1,45.560,277.554,0.064,off
1,45.560,283.424,0.309,off
1,45.560,289.419,0.329,off
1,45.560,295.541,1.085,off
1,45.560,301.278,1.732,off
1,45.560,306.501,0.168,off
1,45.560,312.452,1.215,off
1,45.560,318.360,1.520,off
1,45.560,323.350,0.319,off
1,45.560,329.515,0.451,off
1,45.560,334.673,0.232,off
1,45.560,339.498,0.150,off
1,45.560,345.520,0.966,off
1,45.560,351.140,1.940,off
1,45.560,356.577,0.192,off
1,45.560,362.578,0.579,off
1,45.560,367.842,0.169,off
1,45.560,372.616,0.155,off
1,45.560,378.233,0.349,off
1,45.560,384.410,0.345,off
1,45.560,390.538,0.239,off
1,45.560,396.555,0.235,off
1,45.560,402.099,1.255,off
1,45.560,407.976,3.638,off
1,45.560,414.036,0.199,off
1,45.560,420.076,0.194,off
1,45.560,426.051,0.221,off
1,45.560,432.028,0.122,off
1,45.560,438.022,0.339,off
1,45.560,444.184,0.226,off
1,45.560,450.205,0.229,off
1,45.560,456.236,0.198,off
1,45.560,462.237,0.232,off
1,45.560,468.361,0.376,off
1,45.560,474.566,0.232,off
1,45.560,479.682,0.355,off
1,45.560,484.709,0.142,off
1,45.560,489.495,0.139,off
1,45.560,495.435,0.252,off
1,45.560,500.653,0.219,off
1,45.560,505.528,0.139,off
1,45.560,511.433,0.151,off
1,45.560,517.316,0.098,off
1,45.560,523.149,0.146,off
1,45.560,529.085,0.278,off
1,45.560,535.201,0.554,off
1,45.560,541.757,0.230,off
1,45.560,546.859,0.760,off
1,45.560,552.285,0.171,off
1,45.560,558.188,0.314,off
1,45.560,564.304,0.224,off
1,45.560,570.345,0.209,off
1,45.560,576.329,0.185,off
1,45.560,582.269,0.126,off
1,45.560,588.165,0.183,off
1,45.560,594.150,0.201,off
1,45.560,600.180,0.249,off
1,45.560,606.266,0.205,off
1,45.560,612.269,0.225,off
1,45.560,618.276,0.152,off
1,45.560,624.159,0.151,off
1,45.560,630.111,0.212,off
1,45.560,636.115,0.222,off
1,45.560,642.091,0.141,off
1,45.560,647.959,0.118,off
1,45.560,653.913,0.219,off
1,45.560,658.749,0.125,off
1,45.560,664.645,0.222,off
