RunNumber,SDKInitSpeed_ms,TimeSinceInit_ms,Duration_ms,Variation
1,43.546,8.423,0.327,null
1,43.546,13.341,0.023,null
1,43.546,19.053,0.035,null
1,43.546,24.775,0.037,null
1,43.546,31.046,0.086,null
1,43.546,36.038,0.030,null
1,43.546,41.734,0.038,null
1,43.546,47.818,0.223,null
1,43.546,53.925,0.038,null
1,43.546,59.655,0.048,null
1,43.546,74.732,0.285,null
1,43.546,80.966,0.089,null
1,43.546,86.760,0.040,null
1,43.546,93.505,0.161,null
1,43.546,98.228,0.012,null
1,43.546,103.904,0.014,null
1,43.546,109.533,0.036,null
1,43.546,114.130,0.019,null
1,43.546,119.830,0.020,null
1,43.546,125.539,0.031,null
1,43.546,130.105,0.009,null
1,43.546,135.800,0.018,null
1,43.546,141.480,0.011,null
1,43.546,147.180,0.024,null
1,43.546,152.893,0.024,null
1,43.546,158.620,0.020,null
1,43.546,164.329,0.022,null
1,43.546,170.043,0.022,null
1,43.546,175.756,0.022,null
1,43.546,181.469,0.020,null
1,43.546,187.210,0.062,null
1,43.546,193.025,0.071,null
1,43.546,198.844,0.058,null
1,43.546,204.621,0.034,null
1,43.546,210.435,0.115,null
1,43.546,215.302,0.055,null
1,43.546,221.101,0.107,null
1,43.546,226.947,0.067,null
1,43.546,232.713,0.020,null
1,43.546,238.448,0.047,null
1,43.546,244.276,0.086,null
1,43.546,250.368,9.020,null
1,43.546,262.505,1.740,null
1,43.546,268.096,2.022,null
1,43.546,273.680,0.067,null
1,43.546,279.522,0.078,null
1,43.546,284.067,0.102,null
1,43.546,289.946,0.077,null
1,43.546,295.782,0.056,null
1,43.546,301.567,0.040,null
1,43.546,307.397,0.109,null
1,43.546,327.208,0.270,null
1,43.546,331.920,0.028,null
1,43.546,337.767,2.958,off
1,43.546,343.077,0.502,off
1,43.546,348.205,0.657,off
1,43.546,353.004,0.193,off
1,43.546,358.943,0.214,off
1,43.546,364.871,0.138,off
1,43.546,370.765,0.278,off
1,43.546,376.787,0.148,off
1,43.546,382.631,2.083,off
1,43.546,388.336,1.612,off
1,43.546,393.479,0.260,off
1,43.546,398.343,1.149,off
1,43.546,403.023,2.704,off
1,43.546,408.078,0.287,off
1,43.546,414.091,0.183,off
1,43.546,420.012,0.196,off
1,43.546,425.336,0.604,off
1,43.546,430.557,2.085,off
1,43.546,436.141,0.606,off
1,43.546,441.365,0.255,off
1,43.546,446.261,0.270,off
1,43.546,451.052,0.168,off
1,43.546,456.968,0.236,off
1,43.546,462.951,0.195,off
1,43.546,468.888,0.249,off
1,43.546,474.955,0.202,off
1,43.546,480.896,0.176,off
1,43.546,486.820,2.316,off
1,43.546,492.679,2.098,off
1,43.546,498.256,0.140,off
1,43.546,504.144,0.162,off
1,43.546,510.018,0.073,off
1,43.546,515.781,0.092,off
1,43.546,521.621,0.202,off
1,43.546,527.542,0.062,off
1,43.546,532.177,0.155,off
1,43.546,538.066,0.169,off
1,43.546,543.962,0.103,off
1,43.546,549.747,0.061,off
1,43.546,555.540,0.182,off
1,43.546,560.364,0.166,off
1,43.546,565.135,0.104,off
1,43.546,570.517,0.167,off
1,43.546,575.287,0.147,off
1,43.546,581.173,0.105,off
1,43.546,587.017,0.247,off
1,43.546,593.047,0.142,off
