RunNumber,SDKInitSpeed_ms,TimeSinceInit_ms,Duration_ms,Variation
1,2.240,9.702,1.074,off
1,2.240,15.385,0.451,off
1,2.240,20.564,0.103,off
1,2.240,26.349,0.066,off
1,2.240,32.140,0.067,off
1,2.240,37.931,0.072,off
1,2.240,42.554,0.058,off
1,2.240,48.628,0.186,off
1,2.240,53.548,0.207,off
1,2.240,59.933,0.486,off
1,2.240,64.996,0.576,off
1,2.240,71.618,0.230,off
1,2.240,77.579,0.704,off
1,2.240,82.891,0.923,off
1,2.240,88.374,0.155,off
1,2.240,94.214,0.070,off
1,2.240,99.957,0.054,off
1,2.240,105.674,0.057,off
1,2.240,111.413,0.539,off
1,2.240,116.791,0.406,off
1,2.240,121.748,0.071,off
1,2.240,127.506,0.057,off
1,2.240,133.255,0.046,off
1,2.240,139.002,0.075,off
1,2.240,144.760,0.073,off
1,2.240,150.517,0.056,off
1,2.240,156.261,0.085,off
1,2.240,162.064,0.893,off
1,2.240,167.933,1.643,off
1,2.240,174.143,0.083,off
1,2.240,179.911,0.058,off
1,2.240,184.545,0.071,off
1,2.240,190.230,0.159,off
1,2.240,196.021,0.153,off
1,2.240,201.905,0.123,off
1,2.240,206.617,0.148,off
1,2.240,212.313,0.205,off
1,2.240,218.246,0.107,off
1,2.240,224.064,0.125,off
1,2.240,229.990,0.276,off
1,2.240,236.016,0.089,off
1,2.240,241.851,0.155,off
1,2.240,246.723,0.259,off
1,2.240,251.608,0.179,off
1,2.240,257.623,0.303,off
1,2.240,262.612,0.181,off
1,2.240,268.538,0.120,off
1,2.240,274.467,0.214,off
1,2.240,280.468,0.289,off
1,2.240,286.521,0.250,off
1,2.240,292.611,0.237,off
1,2.240,298.668,0.242,off
1,2.240,303.519,0.086,off
1,2.240,309.484,0.531,off
1,2.240,314.767,1.469,off
1,2.240,319.754,0.517,off
1,2.240,324.875,0.158,off
1,2.240,329.347,0.129,off
1,2.240,335.216,0.263,off
1,2.240,341.936,0.255,off
1,2.240,346.887,0.203,off
1,2.240,351.792,0.251,off
1,2.240,356.681,0.140,off
1,2.240,362.704,0.299,off
1,2.240,367.750,0.357,off
1,2.240,372.766,0.112,off
1,2.240,378.748,0.314,off
1,2.240,383.806,0.326,off
1,2.240,388.819,0.149,off
1,2.240,393.656,0.244,off
1,2.240,398.597,0.174,off
1,2.240,404.630,0.288,off
1,2.240,409.645,0.218,off
1,2.240,414.532,0.153,off
1,2.240,420.013,0.125,off
1,2.240,425.945,0.290,off
1,2.240,432.113,0.234,off
1,2.240,438.111,0.120,off
1,2.240,444.053,0.260,off
1,2.240,450.132,0.190,off
1,2.240,456.054,0.101,off
1,2.240,462.073,0.249,off
1,2.240,468.188,0.310,off
1,2.240,474.303,0.146,off
1,2.240,480.251,0.224,off
1,2.240,486.325,0.260,off
1,2.240,492.406,0.246,off
1,2.240,498.494,0.772,off
1,2.240,503.963,0.210,off
1,2.240,509.993,0.216,off
1,2.240,516.101,0.222,off
1,2.240,522.061,0.084,off
1,2.240,527.900,0.183,off
1,2.240,532.763,0.250,off
1,2.240,537.622,0.070,off
1,2.240,543.454,0.210,off
1,2.240,549.476,0.253,off
