RunNumber,InitTime_ms
1,336.126
2,209.963
3,172.284
4,195.539
5,200.020
6,188.930
7,172.121
8,146.437
9,170.820
10,205.779
11,197.002
12,210.488
13,184.168
14,173.463
15,182.244
16,183.336
17,181.317
18,194.133
19,195.504
20,198.986
21,193.642
22,183.975
23,192.793
24,172.563
25,181.956
26,165.499
27,194.872
28,186.414
29,152.478
30,171.076
31,154.191
32,156.360
33,177.177
34,169.760
35,180.178
36,204.489
37,167.461
38,207.667
39,219.200
40,151.324
41,175.476
42,168.994
43,184.385
44,236.056
45,174.090
46,159.325
47,246.065
48,162.022
49,145.899
50,181.228
